Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Hot Espresso,Café con Leche - Large,Large,340,12,7,0,35,170,47,0,46,28,12,5,576,415,0
Hot Espresso,Café con Leche - Medium,Medium,250,9,5,0,25,125,35,0,34,21,9,4,427,312,0
Hot Espresso,Café con Leche - Small,Small,170,6,3.5,0,20,85,23,0,23,14,6,2,288,208,0
Hot Espresso,Espresso with Sugar,Single Shot,60,0,0,0,0,5,15,0,14,14,0,0,46,1,0
Hot Espresso,Hot Espresso,Single Shot,5,0,0,0,0,5,1,0,0,0,0,0,46,1,0
