Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Extra Large,XLarge,270,0,0,0,5,105,59,0,59,52,5,0,565,171,0
Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Large,Large,220,0,0,0,0,85,47,0,47,42,4,0,462,137,0
Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Medium,Medium,160,0,0,0,0,65,36,0,35,31,3,0,360,103,0
Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,45,24,0,23,21,2,0,257,70,0
Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,45,160,61,0,61,52,7,1,635,238,0
Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Large,Large,330,12,6,0,40,125,49,0,49,42,6,1,518,191,0
Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Medium,Medium,250,9,4.5,0,30,95,37,0,36,31,4,0,402,144,0
Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,65,25,0,24,21,3,0,285,96,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Extra Large,XLarge,270,0,0,0,5,95,61,0,59,53,4,0,529,168,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Large,Large,220,0,0,0,0,80,49,0,48,42,3,0,433,135,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Medium,Medium,160,0,0,0,0,60,37,0,36,32,2,0,312,100,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,40,24,0,24,21,2,0,242,68,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,45,150,63,0,62,53,6,1,599,235,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Large,Large,330,12,6,0,40,120,51,0,49,42,5,1,489,188,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Medium,Medium,250,9,4.5,0,30,90,38,0,37,32,4,0,354,141,0
Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,60,25,0,25,21,3,0,271,95,0
Hot Coffee,White Hazelnut Bark Hot Coffee - Extra Large,XLarge,430,15,8,0,45,150,66,0,62,53,6,1,573,234,0
Hot Coffee,White Hazelnut Bark Hot Coffee - Large,Large,340,12,6,0,40,120,53,0,49,42,5,1,463,187,0
Hot Coffee,White Hazelnut Bark Hot Coffee - Medium,Medium,260,9,4.5,0,30,90,40,0,37,32,4,0,354,141,0
Hot Coffee,White Hazelnut Bark Hot Coffee - Small,Small,170,6,3,0,20,60,26,0,25,21,3,0,271,95,0
Hot Coffee,Box 'O Joe®,1 Small Cup,5,0,0,0,0,5,0,0,0,0,0,0,155,6,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Extra Large,XLarge,270,0,0,0,0,330,63,0,60,52,5,0,502,174,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Large,Large,220,0,0,0,0,270,50,0,48,42,4,0,412,140,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Medium,Medium,170,0,0,0,0,200,38,0,36,31,3,0,322,106,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,135,25,0,24,21,2,0,232,71,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,45,390,65,0,62,52,7,1,572,242,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Large,Large,330,12,6,0,35,310,52,0,50,42,5,1,468,194,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Medium,Medium,250,9,4.5,0,30,230,39,0,37,31,4,0,364,146,0
Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,160,26,0,25,21,3,0,260,98,0
Hot Coffee,Caramel Swirl Hot Coffee with Black - Extra Large,XLarge,280,0,0,0,5,95,64,0,64,58,4,0,712,140,0
Hot Coffee,Caramel Swirl Hot Coffee with Black - Large,Large,230,0,0,0,5,75,52,0,51,46,3,0,580,113,0
Hot Coffee,Caramel Swirl Hot Coffee with Black - Medium,Medium,170,0,0,0,5,60,39,0,38,35,3,0,448,85,0
Hot Coffee,Caramel Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,40,26,0,26,23,2,0,316,57,0
Hot Coffee,Caramel Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,50,150,67,0,66,58,6,1,782,208,0
Hot Coffee,Caramel Swirl Hot Coffee with Cream - Large,Large,340,12,6,0,40,120,53,0,53,46,5,1,636,167,0
Hot Coffee,Caramel Swirl Hot Coffee with Cream - Medium,Medium,260,9,4.5,0,30,90,40,0,40,35,4,0,490,126,0
Hot Coffee,Caramel Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,60,27,0,26,23,3,0,344,84,0
Hot Coffee,French Vanilla Swirl Hot Coffee - Extra Large,XLarge,280,0,0,0,5,85,64,0,61,52,4,0,666,116,0
Hot Coffee,French Vanilla Swirl Hot Coffee - Large,Large,220,0,0,0,5,70,51,0,49,42,3,0,543,93,0
Hot Coffee,French Vanilla Swirl Hot Coffee - Medium,Medium,170,0,0,0,5,50,38,0,37,31,2,0,420,71,0
Hot Coffee,French Vanilla Swirl Hot Coffee - Small,Small,110,0,0,0,0,35,26,0,24,21,2,0,298,48,0
Hot Coffee,French Vanilla Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,50,135,66,0,63,52,6,1,736,184,0
