Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Hot Coffee,French Vanilla Swirl Hot Coffee with Cream - Large,Large,340,12,6,0,40,110,53,0,50,42,5,1,599,147,0
Hot Coffee,French Vanilla Swirl Hot Coffee with Cream - Medium,Medium,250,9,4.5,0,30,85,40,0,38,31,4,0,463,111,0
Hot Coffee,French Vanilla Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,55,26,0,25,21,2,0,326,75,0
Hot Coffee,Hot Coffee - Extra Large,XLarge,5,0,0,0,0,15,0,0,0,0,1,0,311,13,0
Hot Coffee,Hot Coffee - Large,Large,5,0,0,0,0,10,0,0,0,0,1,0,259,11,0
Hot Coffee,Hot Coffee - Medium,Medium,5,0,0,0,0,10,0,0,0,0,1,0,207,8,0
Hot Coffee,Hot Coffee - Small,Small,5,0,0,0,0,5,0,0,0,0,0,0,155,6,0
Hot Coffee,Hot Coffee with AlmondMilk - Extra Large,XLarge,45,1.5,0,0,0,85,7,0,7,6,1,1,344,243,0
Hot Coffee,Hot Coffee with AlmondMilk - Large,Large,35,1,0,0,0,65,5,0,5,5,1,1,284,183,0
Hot Coffee,Hot Coffee with AlmondMilk - Medium,Medium,25,0.5,0,0,0,45,4,0,3,3,1,1,198,123,0
Hot Coffee,Hot Coffee with AlmondMilk - Small,Small,15,0,0,0,0,25,2,0,2,2,0,0,138,63,0
Hot Coffee,Hot Coffee with Coconutmilk - Extra Large,XLarge,25,2,1.5,0,0,35,1,0,0,0,1,2,389,262,0
Hot Coffee,Hot Coffee with Coconutmilk - Large,Large,20,1.5,1,0,0,25,1,0,0,0,1,1,311,197,0
Hot Coffee,Hot Coffee with Coconutmilk - Medium,Medium,15,1,1,0,0,20,0,0,0,0,1,1,234,133,0
Hot Coffee,Hot Coffee with Coconutmilk - Small,Small,10,0.5,0,0,0,10,0,0,0,0,0,0,181,69,0
Hot Coffee,Hot Coffee with Cream - Extra Large,XLarge,150,15,8,0,45,65,2,0,2,0,3,1,381,80,0
Hot Coffee,Hot Coffee with Cream - Large,Large,120,12,6,0,35,55,2,0,2,0,2,1,315,64,0
Hot Coffee,Hot Coffee with Cream - Medium,Medium,90,9,4.5,0,25,40,1,0,1,0,2,0,249,49,0
Hot Coffee,Hot Coffee with Cream - Small,Small,60,6,3,0,20,30,1,0,1,0,1,0,183,33,0
Hot Coffee,Hot Coffee with Cream and Sugar - Extra Large,XLarge,320,15,8,0,45,65,46,0,46,43,3,1,382,80,0
Hot Coffee,Hot Coffee with Cream and Sugar - Large,Large,260,12,6,0,35,55,37,0,36,35,2,1,316,65,0
Hot Coffee,Hot Coffee with Cream and Sugar - Medium,Medium,190,9,4.5,0,25,40,27,0,27,26,2,0,250,49,0
Hot Coffee,Hot Coffee with Cream and Sugar - Small,Small,130,6,3,0,20,30,18,0,18,17,1,0,184,34,0
Hot Coffee,Hot Coffee with Oatmilk - Extra Large,XLarge,60,1.5,0,0,0,65,10,1,2,2,1,3,427,177,0
Hot Coffee,Hot Coffee with Oatmilk - Large,Large,45,1.5,0,0,0,50,8,1,2,1,1,2,340,133,0
Hot Coffee,Hot Coffee with Oatmilk - Medium,Medium,30,1,0,0,0,35,5,1,1,1,1,1,253,90,0
Hot Coffee,Hot Coffee with Oatmilk - Small,Small,15,0,0,0,0,20,3,0,1,0,1,1,165,47,0
Hot Coffee,Hot Coffee with Skim Milk - Extra Large,XLarge,30,0,0,0,0,45,4,0,4,0,3,1,396,105,0
Hot Coffee,Hot Coffee with Skim Milk - Large,Large,25,0,0,0,0,35,3,0,3,0,3,1,328,84,0
Hot Coffee,Hot Coffee with Skim Milk - Medium,Medium,20,0,0,0,0,25,2,0,2,0,2,1,259,64,0
Hot Coffee,Hot Coffee with Skim Milk - Small,Small,15,0,0,0,0,20,2,0,2,0,1,0,190,43,0
Hot Coffee,Hot Coffee with Skim Milk and Sugar - Extra Large,XLarge,200,0,0,0,0,45,47,0,47,43,3,1,398,105,0
Hot Coffee,Hot Coffee with Skim Milk and Sugar - Large,Large,160,0,0,0,0,35,38,0,38,35,3,1,329,85,0
Hot Coffee,Hot Coffee with Skim Milk and Sugar - Medium,Medium,120,0,0,0,0,25,28,0,28,26,2,1,260,64,0
Hot Coffee,Hot Coffee with Skim Milk and Sugar - Small,Small,80,0,0,0,0,20,19,0,19,17,1,0,190,43,0
Hot Coffee,Hot Coffee with Sugar - Extra Large,XLarge,170,0,0,0,0,15,44,0,43,43,1,0,311,13,0
Hot Coffee,Hot Coffee with Sugar - Large,Large,140,0,0,0,0,10,35,0,35,35,1,0,260,11,0
Hot Coffee,Hot Coffee with Sugar - Medium,Medium,110,0,0,0,0,10,26,0,26,26,1,0,208,9,0
Hot Coffee,Hot Coffee with Sugar - Small,Small,70,0,0,0,0,5,17,0,17,17,0,0,156,7,0
Hot Coffee,Hot Coffee with Whole Milk - Extra Large,XLarge,50,2.5,1.5,0,10,45,4,0,4,0,3,1,379,98,0
Hot Coffee,Hot Coffee with Whole Milk - Large,Large,40,2,1,0,5,35,3,0,3,0,2,1,313,78,0
Hot Coffee,Hot Coffee with Whole Milk - Medium,Medium,30,1.5,1,0,5,25,2,0,2,0,2,1,248,59,0
Hot Coffee,Hot Coffee with Whole Milk - Small,Small,20,1,0.5,0,5,20,1,0,1,0,1,0,183,40,0
Hot Coffee,Hot Coffee with Whole Milk and Sugar - Extra Large,XLarge,220,2.5,1.5,0,10,45,47,0,47,43,3,1,380,98,0
Hot Coffee,Hot Coffee with Whole Milk and Sugar - Large,Large,190,2,1,0,5,35,42,0,42,39,2,1,314,79,0
Hot Coffee,Hot Coffee with Whole Milk and Sugar - Medium,Medium,130,1.5,1,0,5,30,28,0,28,26,2,1,249,60,0
Hot Coffee,Hot Coffee with Whole Milk and Sugar - Small,Small,90,1,0.5,0,5,20,19,0,19,17,1,0,183,40,0
Hot Coffee,Mocha Swirl Hot Coffee - Extra Large,XLarge,260,1,0.5,0,0,45,63,3,57,57,3,0,717,25,2
Hot Coffee,Mocha Swirl Hot Coffee - Large,Large,210,1,0,0,0,40,50,2,46,46,2,0,584,20,2
Hot Coffee,Mocha Swirl Hot Coffee - Medium,Medium,160,0.5,0,0,0,30,38,2,34,34,2,0,451,16,1
Hot Coffee,Mocha Swirl Hot Coffee - Small,Small,110,0,0,0,0,20,25,1,23,23,1,0,318,11,1
Hot Coffee,Mocha Swirl Hot Coffee with Cream - Extra Large,XLarge,410,15,8,0,45,100,65,3,59,57,5,1,787,92,2
Hot Coffee,Mocha Swirl Hot Coffee with Cream - Large,Large,330,12,7,0,35,80,52,2,47,46,4,1,650,74,2
Hot Coffee,Mocha Swirl Hot Coffee with Cream - Medium,Medium,240,9,5,0,25,60,39,2,35,34,3,0,493,56,1
Hot Coffee,Mocha Swirl Hot Coffee with Cream - Small,Small,160,6,3.5,0,20,40,26,1,24,23,2,0,346,38,1
