Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Bagels,Cinnamon Raisin Bagel,1 Bagel,320,1,0,0,0,510,67,4,13,6,11,0,160,38,3
Bagels,Everything Bagel,1 Bagel,340,3,0.5,0,0,630,67,5,8,4,12,0,182,57,4
Bagels,Multigrain Bagel,1 Bagel,380,8,1,0,0,550,63,8,8,7,15,0,297,52,5
Bagels,Plain Bagel,1 Bagel,300,1,0,0,0,620,64,4,7,4,11,0,126,20,4
Bagels,Sesame Seed Bagel,1 Bagel,350,5,1,0,0,630,64,5,7,4,12,0,152,24,4
Bagels,White Cheddar Bagel Twist,1 Bagel Twist,390,8,4.5,0,20,760,64,4,7,4,16,0,142,171,4
