"Kosher Sandwiches and Wraps -
Regional",Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Kosher Grilled Cheese,1 Sandwich,420,23,12,0,55,840,36,0,3,2,17,1,146,326,2
Kosher Grilled Cheese with Veggie Bacon,1 Sandwich,480,27,12,0,55,1060,38,0,3,2,19,1,162,334,3
