Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Bold Breakfast Black Tea - Large,Large,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Bold Breakfast Black Tea - Medium,Medium,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Bold Breakfast Black Tea - Small,Small,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Chamomile Fields Herbal Infusion - Large,Large,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Chamomile Fields Herbal Infusion - Medium,Medium,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Chamomile Fields Herbal Infusion - Small,Small,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Cool Mint Herbal Infusion - Large,Large,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Cool Mint Herbal Infusion - Medium,Medium,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Cool Mint Herbal Infusion - Small,Small,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Decaf Breakfast Black Tea - Large,Large,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Decaf Breakfast Black Tea - Medium,Medium,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Decaf Breakfast Black Tea - Small,Small,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Harmony Leaf Green Tea - Large,Large,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Harmony Leaf Green Tea - Medium,Medium,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Harmony Leaf Green Tea - Small,Small,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Hibiscus Kiss Herbal Infusion - Large,Large,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Hibiscus Kiss Herbal Infusion - Medium,Medium,,,,,,,,,,,,,,,
"Hot Tea - All varieties of our
tea and herbal infusion have no
nutritional significance.",Hibiscus Kiss Herbal Infusion - Small,Small,,,,,,,,,,,,,,,
