Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Hot Cappuccino,Caramel Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,135,49,0,47,35,8,2,611,303,0
Hot Cappuccino,Caramel Swirl Hot Cappuccino with Skim Milk - Small,Small,160,0,0,0,5,90,33,0,32,23,6,1,410,202,0
Hot Cappuccino,Caramel Swirl Hot Cappuccino with Whole Milk - Large,Large,380,8,4.5,0,30,180,65,0,63,46,11,3,761,381,0
Hot Cappuccino,Caramel Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,135,48,0,47,35,8,2,566,285,0
Hot Cappuccino,Caramel Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,90,32,0,31,23,5,2,380,190,0
Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Skim Milk - Large,Large,310,0,0,0,10,170,65,0,61,42,11,3,784,384,0
Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,130,48,0,46,31,8,2,584,288,0
Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,85,32,0,30,21,5,1,392,192,0
Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,30,170,64,0,60,42,10,3,724,361,0
Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,130,48,0,45,31,8,2,539,271,0
Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,85,32,0,30,21,5,2,362,181,0
Hot Cappuccino,Mocha Swirl Hot Cappuccino with Skim Milk - Large,Large,300,1,0.5,0,5,140,64,2,58,46,10,3,825,311,2
Hot Cappuccino,Mocha Swirl Hot Cappuccino with Skim Milk - Medium,Medium,220,1,0.5,0,5,105,48,2,43,34,7,2,614,233,1
Hot Cappuccino,Mocha Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0.5,0,0,0,70,32,1,29,23,5,1,412,156,1
Hot Cappuccino,Mocha Swirl Hot Cappuccino with Whole Milk - Large,Large,360,9,5,0,25,140,63,2,57,46,9,3,765,288,2
Hot Cappuccino,Mocha Swirl Hot Cappuccino with Whole Milk - Medium,Medium,270,7,4,0,20,110,48,2,43,34,7,2,569,216,1
Hot Cappuccino,Mocha Swirl Hot Cappuccino with Whole Milk - Small,Small,180,4.5,2.5,0,10,70,32,1,29,23,5,2,382,144,1
