Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Skim Milk - Large,Large,300,0,0,0,5,190,61,0,59,42,12,3,703,428,0
Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,140,46,0,44,31,9,2,523,321,0
Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,95,30,0,30,21,6,1,352,214,0
Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,25,190,60,0,59,42,11,3,643,405,0
Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,140,45,0,44,31,8,2,478,303,0
Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,95,30,0,29,21,6,2,322,202,0
Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Skim Milk - Large,Large,300,0,0,0,5,180,62,0,60,42,11,3,674,425,0
Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,135,47,0,45,32,8,2,501,319,0
Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,90,31,0,30,21,5,1,337,213,0
Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,25,180,62,0,59,42,10,3,614,402,0
Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,140,46,0,44,32,8,2,456,302,0
Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,90,31,0,30,21,5,2,307,201,0
Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Skim Milk - Large,Large,310,0,0,0,5,370,64,0,60,42,11,3,653,431,0
Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,280,48,0,45,31,9,2,485,323,0
Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,190,32,0,30,21,6,1,326,215,0
Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,25,370,63,0,60,42,11,3,593,408,0
Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,280,47,0,45,31,8,2,440,306,0
Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,190,32,0,30,21,5,2,297,204,0
Hot Cappuccino,Cappuccino with Skim Milk - Large,Large,90,0,0,0,5,115,13,0,12,0,8,3,474,300,0
Hot Cappuccino,Cappuccino with Skim Milk - Medium,Medium,70,0,0,0,5,85,10,0,9,0,6,2,351,225,0
Hot Cappuccino,Cappuccino with Skim Milk - Small,Small,45,0,0,0,0,55,7,0,6,0,4,1,237,150,0
Hot Cappuccino,Cappuccino with Skim Milk and Sugar - Large,Large,230,0,0,0,5,115,48,0,47,35,8,3,475,301,0
Hot Cappuccino,Cappuccino with Skim Milk and Sugar - Medium,Medium,170,0,0,0,5,85,36,0,35,26,6,2,351,225,0
Hot Cappuccino,Cappuccino with Skim Milk and Sugar - Small,Small,110,0,0,0,0,55,24,0,23,17,4,1,237,150,0
Hot Cappuccino,Cappuccino with Whole Milk - Large,Large,160,8,4.5,0,25,115,13,0,12,0,8,3,414,277,0
Hot Cappuccino,Cappuccino with Whole Milk - Medium,Medium,120,6,3.5,0,20,85,10,0,9,0,6,2,306,208,0
Hot Cappuccino,Cappuccino with Whole Milk - Small,Small,80,4,2.5,0,10,60,7,0,6,0,4,2,207,139,0
Hot Cappuccino,Cappuccino with Whole Milk and Sugar - Large,Large,290,8,4.5,0,25,115,48,0,46,35,8,3,415,278,0
Hot Cappuccino,Cappuccino with Whole Milk and Sugar - Medium,Medium,220,6,3.5,0,20,85,36,0,35,26,6,2,306,208,0
Hot Cappuccino,Cappuccino with Whole Milk and Sugar - Small,Small,150,4,2.5,0,10,60,24,0,23,17,4,2,207,139,0
Hot Cappuccino,Caramel Swirl Hot Cappuccino with Skim Milk - Large,Large,310,0,0,0,10,180,65,0,63,46,11,3,821,404,0
