Dunkin' Wraps,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Chicken & Roasted Pepper Dunkin' Wrap,1 Wrap,380,16,10,0.5,75,820,33,3,3,0,25,0,318,283,3
Chorizo & Egg Dunkin' Wrap,1 Wrap,410,21,10,0,140,1010,34,3,3,1,20,1,249,227,3
