Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Packaged Tea,Bold Breakfast Black Packaged Tea,,,,,,,,,,,,,,,,
Packaged Tea,Chamomile Fields Herbal Infusion Packaged Tea,,,,,,,,,,,,,,,,
Packaged Tea,Cool Mint Herbal Infusion Packaged Tea,,,,,,,,,,,,,,,,
Packaged Tea,Harmony Leaf Green Packaged Tea,,,,,,,,,,,,,,,,
Packaged Tea,Hibiscus Kiss Herbal Infusion Packaged Tea,,,,,,,,,,,,,,,,
