Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Donuts - Regional,#ALLCAPS Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,59,12,2
Donuts - Regional,Birdland Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,63,12,2
Donuts - Regional,Bulls Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,59,12,2
Donuts - Regional,Buttermilk Donut,1 Donut,330,17,7,0,25,390,41,1,20,20,3,0,63,23,2
Donuts - Regional,Chocolate Frosted with Chocolate Sprinkles Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,5,0,85,13,2
Donuts - Regional,Cleveland Guardians Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2
Donuts - Regional,Dodgers Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,58,12,2
Donuts - Regional,Fenway Faithful Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2
Donuts - Regional,Go Hornets Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,58,12,2
Donuts - Regional,Guava Donut,1 Donut,240,10,4,0,0,280,32,1,12,11,4,1,72,12,2
Donuts - Regional,Inter Miami Donut,1 Donut,270,11,4.5,0,0,280,37,1,17,16,4,0,59,12,2
Donuts - Regional,Jaguars Hall of Fame Donut,1 Donut,270,12,5,0,0,280,37,1,15,14,4,0,68,12,2
Donuts - Regional,Orioles Magic Donut,1 Donut,350,15,6,0,0,300,47,1,27,27,4,1,69,12,2
Donuts - Regional,Padres Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2
Donuts - Regional,Pittsburgh Crème Donut,1 Donut,350,16,7,0,0,310,47,1,26,25,5,1,81,13,2
Donuts - Regional,Pittsburgh Penguins Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2
Donuts - Regional,Reds Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,64,12,2
Donuts - Regional,TN Titans Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,58,12,2
Donuts - Regional,The GOAT Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,59,12,2
Donuts - Regional,Apple Streusel Donut,1 Donut,310,12,4.5,0,0,310,46,1,23,23,5,1,72,13,2
Donuts - Regional,Chocolate Coconut Donut,1 Donut,430,25,12,0,0,420,50,1,29,28,4,0,80,26,1
Donuts - Regional,Chocolate Crème Stick,1 Stick,460,23,9,0,0,450,58,2,33,33,6,2,108,18,3
Donuts - Regional,Crème Delight Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2
Donuts - Regional,French Apple Donut,1 Donut,270,10,4,0,0,310,40,1,19,18,4,1,69,12,2
Donuts - Regional,Glazed Lemon Donut,1 Donut,270,10,4,0,0,310,40,1,19,18,4,1,62,12,2
Donuts - Regional,Indy Crème Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2
Donuts - Regional,Maple Long John Donut,1 Donut,320,15,6,0,0,400,42,1,18,17,5,2,81,16,2
Donuts - Regional,Marble Frosted Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,63,12,2
Donuts - Regional,New Yorker Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2
