Condiments,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Butter Packet,1 Packet,35,4,2.5,0,10,30,0,0,0,0,0,0,1,1,0
Butter Spread with Canola Oil,1 Portion,100,11,4,0,15,85,0,0,0,0,0,0,3,3,0
