Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Hot Macchiato,Hot Macchiato with Skim Milk and Sugar - Medium,Medium,170,0,0,0,5,90,37,0,35,26,6,2,397,226,0
Hot Macchiato,Hot Macchiato with Skim Milk and Sugar - Small,Small,120,0,0,0,0,65,25,0,23,17,4,1,283,151,0
Hot Macchiato,Hot Macchiato with Whole Milk - Large,Large,160,8,4.5,0,25,120,14,0,12,0,8,3,460,278,0
Hot Macchiato,Hot Macchiato with Whole Milk - Medium,Medium,120,6,3.5,0,20,90,10,0,9,0,6,2,352,209,0
Hot Macchiato,Hot Macchiato with Whole Milk - Small,Small,80,4,2.5,0,10,65,7,0,6,0,4,2,253,139,0
Hot Macchiato,Hot Macchiato with Whole Milk and Sugar - Large,Large,290,8,4.5,0,25,120,49,0,46,35,8,3,461,278,0
Hot Macchiato,Hot Macchiato with Whole Milk and Sugar - Medium,Medium,220,6,3.5,0,20,90,37,0,35,26,6,2,352,209,0
Hot Macchiato,Hot Macchiato with Whole Milk and Sugar - Small,Small,150,4,2.5,0,10,65,25,0,23,17,4,2,253,140,0
Hot Macchiato,Mocha Swirl Hot Macchiato with Skim Milk - Large,Large,300,1,0.5,0,5,150,65,2,58,46,10,3,871,312,2
Hot Macchiato,Mocha Swirl Hot Macchiato with Skim Milk - Medium,Medium,230,1,0.5,0,5,110,49,2,43,34,7,2,660,234,2
Hot Macchiato,Mocha Swirl Hot Macchiato with Skim Milk - Small,Small,150,0.5,0,0,0,75,33,1,29,23,5,1,458,156,1
Hot Macchiato,Mocha Swirl Hot Macchiato with Whole Milk - Large,Large,370,9,5,0,25,150,64,2,57,46,9,3,811,289,2
Hot Macchiato,Mocha Swirl Hot Macchiato with Whole Milk - Medium,Medium,280,7,4,0,20,115,48,2,43,34,7,2,615,217,2
Hot Macchiato,Mocha Swirl Hot Macchiato with Whole Milk - Small,Small,180,4.5,2.5,0,10,80,32,1,29,23,5,2,428,145,1
