Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Hot Macchiato,Pink Velvet Swirl Hot Macchiato with Skim Milk - Large,Large,310,0.5,0,0,5,190,62,0,59,42,12,3,749,428,0
Hot Macchiato,Pink Velvet Swirl Hot Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,150,46,0,44,31,9,2,569,321,0
Hot Macchiato,Pink Velvet Swirl Hot Macchiato with Skim Milk - Small,Small,160,0,0,0,5,100,31,0,30,21,6,1,398,215,0
Hot Macchiato,Pink Velvet Swirl Hot Macchiato with Whole Milk - Large,Large,370,8,4.5,0,25,200,61,0,59,42,11,3,689,406,0
Hot Macchiato,Pink Velvet Swirl Hot Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,150,46,0,44,31,9,2,524,304,0
Hot Macchiato,Pink Velvet Swirl Hot Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,100,31,0,29,21,6,2,368,203,0
Hot Macchiato,Toasted White Chocolate Swirl Hot Macchiato with Skim Milk - Large,Large,310,0.5,0,0,5,190,63,0,60,42,11,3,720,426,0
Hot Macchiato,Toasted White Chocolate Swirl Hot Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,140,47,0,45,32,8,2,547,320,0
Hot Macchiato,Toasted White Chocolate Swirl Hot Macchiato with Skim Milk - Small,Small,160,0,0,0,5,95,32,0,30,21,6,1,383,213,0
Hot Macchiato,Toasted White Chocolate Swirl Hot Macchiato with Whole Milk - Large,Large,370,8,4.5,0,25,190,63,0,59,42,10,3,660,403,0
Hot Macchiato,Toasted White Chocolate Swirl Hot Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,140,47,0,44,32,8,2,502,303,0
Hot Macchiato,Toasted White Chocolate Swirl Hot Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,100,32,0,30,21,5,2,353,202,0
Hot Macchiato,Butter Pecan Swirl Hot Macchiato with Skim Milk - Large,Large,310,0,0,0,5,380,64,0,60,42,12,3,699,432,0
Hot Macchiato,Butter Pecan Swirl Hot Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,280,48,0,45,31,9,2,531,324,0
Hot Macchiato,Butter Pecan Swirl Hot Macchiato with Skim Milk - Small,Small,160,0,0,0,5,190,33,0,30,21,6,1,372,216,0
Hot Macchiato,Butter Pecan Swirl Hot Macchiato with Whole Milk - Large,Large,380,8,4.5,0,25,380,64,0,60,42,11,3,639,409,0
Hot Macchiato,Butter Pecan Swirl Hot Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,290,48,0,45,31,8,2,486,307,0
Hot Macchiato,Butter Pecan Swirl Hot Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,190,32,0,30,21,6,2,343,205,0
Hot Macchiato,Caramel Swirl Hot Macchiato with Skim Milk - Large,Large,310,0,0,0,10,190,66,0,63,46,11,3,867,404,0
Hot Macchiato,Caramel Swirl Hot Macchiato with Skim Milk - Medium,Medium,240,0,0,0,5,140,49,0,47,35,8,2,657,303,0
Hot Macchiato,Caramel Swirl Hot Macchiato with Skim Milk - Small,Small,160,0,0,0,5,95,33,0,32,23,6,1,456,203,0
Hot Macchiato,Caramel Swirl Hot Macchiato with Whole Milk - Large,Large,380,8,4.5,0,30,190,65,0,63,46,11,3,807,381,0
Hot Macchiato,Caramel Swirl Hot Macchiato with Whole Milk - Medium,Medium,290,6,3.5,0,20,140,49,0,47,35,8,2,612,286,0
Hot Macchiato,Caramel Swirl Hot Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,95,33,0,31,23,5,2,426,191,0
Hot Macchiato,French Vanilla Swirl Hot Macchiato with Skim Milk - Large,Large,310,0,0,0,10,180,65,0,61,42,11,3,830,385,0
Hot Macchiato,French Vanilla Swirl Hot Macchiato with Skim Milk - Medium,Medium,230,0,0,0,5,135,49,0,46,31,8,2,630,289,0
Hot Macchiato,French Vanilla Swirl Hot Macchiato with Skim Milk - Small,Small,160,0,0,0,5,90,33,0,30,21,5,1,438,193,0
Hot Macchiato,French Vanilla Swirl Hot Macchiato with Whole Milk - Large,Large,380,8,4.5,0,30,180,65,0,60,42,10,3,770,362,0
Hot Macchiato,French Vanilla Swirl Hot Macchiato with Whole Milk - Medium,Medium,280,6,3.5,0,20,135,49,0,45,31,8,2,585,272,0
Hot Macchiato,French Vanilla Swirl Hot Macchiato with Whole Milk - Small,Small,190,4,2.5,0,15,95,33,0,30,21,5,2,408,181,0
Hot Macchiato,Hot Macchiato with Coconutmilk - Large,Large,50,4,3.5,0,0,65,3,0,0,0,1,3,451,507,1
Hot Macchiato,Hot Macchiato with Coconutmilk - Medium,Medium,40,3,2.5,0,0,50,3,0,0,0,0,2,345,380,0
Hot Macchiato,Hot Macchiato with Coconutmilk - Small,Small,30,2,1.5,0,0,35,2,0,0,0,0,2,249,254,0
Hot Macchiato,Hot Macchiato with Oatmilk - Large,Large,120,3.5,0.5,0,0,130,23,3,5,4,2,6,527,336,0
Hot Macchiato,Hot Macchiato with Oatmilk - Medium,Medium,90,2.5,0,0,0,100,17,2,4,3,2,4,402,252,0
Hot Macchiato,Hot Macchiato with Oatmilk - Small,Small,60,2,0,0,0,70,12,1,2,2,1,3,286,169,0
Hot Macchiato,Hot Macchiato with Skim Milk - Large,Large,90,0,0,0,5,120,14,0,12,0,8,3,520,301,0
Hot Macchiato,Hot Macchiato with Skim Milk - Medium,Medium,70,0,0,0,5,90,11,0,9,0,6,2,397,226,0
Hot Macchiato,Hot Macchiato with Skim Milk - Small,Small,50,0,0,0,0,65,7,0,6,0,4,1,283,151,0
Hot Macchiato,Hot Macchiato with Skim Milk and Sugar - Large,Large,230,0,0,0,5,120,49,0,47,35,8,3,521,301,0
