Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Soft Serve,Extra Thick Shake - Chocolate,1 Size,650,20,13,0,75,400,108,2,94,74,15,2,1018,544,1
Soft Serve,Extra Thick Shake - Coffee,1 Size,500,19,12,0,75,380,71,0,61,40,14,2,814,537,0
Soft Serve,Extra Thick Shake - Vanilla,1 Size,500,19,12,0,75,380,70,0,61,40,14,2,758,536,0
Soft Serve,Frozen Coffee Float,1 Size,380,15,9,0,55,200,57,0,51,43,6,0,729,230,1
Soft Serve,M&M's® Mix-In,1 Serving,690,27,17,0,60,340,103,2,90,74,12,0,741,442,1
Soft Serve,OREO® Mix-In,1 Serving,550,21,11,0,55,410,84,1,64,50,10,0,588,374,1
Soft Serve,Soft Serve Cone,1 Cone,280,9,6,0,35,210,45,0,33,24,7,0,358,240,0
Soft Serve,Strawberry Coolatta® Float,1 Size,450,12,8,0,50,260,79,0,71,50,8,0,481,324,0
