Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Muffins,Blueberry Muffin,1 Muffin,460,15,3,0,60,390,77,1,44,41,6,0,93,21,2
Muffins,Chocolate Chip Muffin,1 Muffin,550,21,6,0,65,400,85,2,49,49,7,0,175,29,3
Muffins,Coffee Cake Muffin,1 Muffin,590,24,8,0,65,370,88,2,51,50,7,0,101,36,3
Muffins,Corn Muffin,1 Muffin,460,16,3,0,70,670,73,1,30,30,7,0,85,17,2
