Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Sandwiches,"Bacon, Egg, and Cheese Pancake Wake-Up Wrap® with Dipping Syrup",1 Wrap,330,16,5,0,110,780,36,1,20,19,11,1,136,126,1
Sandwiches,Egg and Cheese Pancake Wake-Up Wrap® with Dipping Syrup,1 Wrap,300,13,4.5,0,105,680,37,1,20,19,9,1,100,127,1
Sandwiches,"Sausage, Egg, and Cheese Pancake Wake-Up Wrap® with Dipping Syrup",1 Wrap,400,23,8,0,125,900,37,1,20,19,12,1,152,138,1
Sandwiches,Sweet Black Pepper Bacon Breakfast Sandwich,1 Sandwich,650,41,17,0,205,850,46,1,11,10,23,4,257,197,3
Sandwiches,Sweet Black Pepper Bacon Wake- Up Wrap,1 Wrap,280,18,7,0,115,560,18,1,4,4,13,1,135,200,1
Sandwiches,"Sweet Black Pepper Bacon, Egg, and Cheese Pancake Wake-Up Wrap® with Dipping Syrup",1 Wrap,370,18,7,0,115,680,39,1,23,22,13,1,140,192,1
Sandwiches,"Bacon, Egg and Cheese Wake-Up Wrap",1 Wrap,220,13,5,0,105,590,15,0,1,1,10,1,112,134,1
Sandwiches,"Bacon, Egg and Cheese on Croissant",1 Sandwich,560,36,14,0,190,820,41,1,6,5,18,4,210,126,3
Sandwiches,"Bacon, Egg and Cheese on English Muffin",1 Sandwich,400,19,7,0,190,840,39,1,4,4,18,2,209,126,3
Sandwiches,"Bacon, Egg and Cheese on a Plain Bagel",1 Sandwich,520,18,6,0,190,"1,200",67,4,8,5,23,1,280,137,5
Sandwiches,Double Sausage Breakfast Sandwich,1 Sandwich,900,54,19,0,265,1980,70,5,8,4,33,2,439,189,6
Sandwiches,Egg and Cheese Wake-Up Wrap,1 Wrap,180,10,4,0,95,470,14,0,1,0,7,1,74,132,1
Sandwiches,Egg and Cheese on Croissant,1 Sandwich,500,31,13,0,175,640,40,1,6,5,15,4,153,125,3
Sandwiches,Egg and Cheese on English Muffin,1 Sandwich,340,15,5,0,175,650,38,1,4,3,14,2,151,124,3
Sandwiches,Egg and Cheese on a Plain Bagel,1 Sandwich,460,13,5,0,175,1010,66,4,8,4,19,1,222,135,4
Sandwiches,Grilled Cheese,1 Sandwich,480,20,11,0,55,1120,54,3,1,0,21,0,167,407,4
Sandwiches,"Sausage, Egg and Cheese Wake-Up Wrap",1 Wrap,290,21,8,0,120,710,15,1,1,0,10,1,128,146,2
Sandwiches,"Sausage, Egg and Cheese on Croissant",1 Sandwich,720,52,20,0,220,1120,42,2,6,5,21,5,261,152,4
Sandwiches,"Sausage, Egg and Cheese on English Muffin",1 Sandwich,560,35,12,0,220,"1,140",40,2,4,3,21,2,260,151,3
Sandwiches,"Sausage, Egg and Cheese on a Plain Bagel",1 Sandwich,680,34,12,0,220,"1,500",68,5,8,4,26,2,330,162,5
Sandwiches,Sourdough Breakfast Sandwich,1 Sandwich,650,32,11,0,365,1360,58,3,2,1,31,2,383,220,5
Sandwiches,Spam Breakfast Sandwich,1 Sandwich,630,42,17,0,200,1210,41,1,6,5,20,4,251,129,3
Sandwiches,Turkey Sausage Sandwich on English Muffin,1 Sandwich,470,25,8,0,215,1080,39,1,4,3,23,2,249,130,3
Sandwiches,Turkey Sausage Wake Up Wrap,1 Wrap,240,15,6,0,115,680,15,0,1,1,11,1,122,135,2
