Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Sandwiches - Regional,"Biscuit, Bacon, Egg and Cheese",1 Sandwich,490,31,15,0,195,1210,35,1,3,1,17,1,233,181,3
Sandwiches - Regional,Chicken Biscuit,1 Sandwich,460,22,11,0,45,1080,46,1,3,1,21,0,269,73,3
Sandwiches - Regional,Chicken Croissant Sandwich,1 Sandwich,650,36,14,0,65,1240,55,2,9,8,28,3,335,116,3
Sandwiches - Regional,Sausage Biscuit,1 Sandwich,490,34,16,0,45,1120,32,1,2,0,13,0,229,86,3
