Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Dunkin' Refreshers,Mango Pineapple Dunkin' Refresher - Large,Large,170,0,0,0,0,25,42,0,39,39,1,0,34,17,0
Dunkin' Refreshers,Mango Pineapple Dunkin' Refresher - Medium,Medium,130,0,0,0,0,15,32,0,29,29,1,0,25,12,0
Dunkin' Refreshers,Mango Pineapple Dunkin' Refresher - Small,Small,90,0,0,0,0,10,21,0,19,19,0,0,17,9,0
Dunkin' Refreshers,Strawberry Dragonfruit Dunkin' Refresher - Large,Large,170,0,0,0,0,20,39,0,37,37,1,0,33,16,0
Dunkin' Refreshers,Strawberry Dragonfruit Dunkin' Refresher - Medium,Medium,130,0,0,0,0,15,29,0,27,27,1,0,24,10,0
Dunkin' Refreshers,Strawberry Dragonfruit Dunkin' Refresher - Small,Small,80,0,0,0,0,10,19,0,18,18,0,0,16,8,0
