Store,Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Beverage_prep, Total Fat (g),Trans Fat (g) , Sodium (mg), Total Carbohydrates (g) , Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg)
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Cream - Large,Large,1110,40,22,1.5,125,290,177,0,167,156,10,2,2142,369,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Cream - Medium,Medium,850,31,17,1,100,220,136,0,128,119,8,2,1627,285,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Cream - Small,Small,600,22,12,0.5,70,160,96,0,90,83,6,1,1114,202,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Skim Milk - Large,Large,830,5,3.5,0,25,240,181,0,171,156,11,2,2182,429,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Skim Milk - Medium,Medium,640,5,3,0,20,180,139,0,131,119,9,2,1657,329,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Skim Milk - Small,Small,460,4.5,3,0,20,130,98,0,92,83,6,1,1135,232,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Whole Milk - Large,Large,870,11,7,0,40,240,181,0,171,156,11,3,2137,412,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Whole Milk - Medium,Medium,680,9,6,0,30,190,139,0,131,119,8,2,1624,316,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Toasted White Chocolate Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,4.5,0,25,130,98,0,92,83,6,1,1112,223,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,White Chocolate Hazelnut Frozen Coffee - Large,Large,1110,39,23,1.5,125,300,179,0,167,156,11,2,746,364,0,,,,,,,,,,,,,
Dunkin,Frozen Coffee,White Chocolate Hazelnut Frozen Coffee - Medium,Medium,860,30,18,1,95,230,137,0,129,119,8,2,581,281,0,,,,,,,,,,,,,
Dunkin,Frozen Coffee,White Chocolate Hazelnut Frozen Coffee - Small,Small,600,22,13,0.5,70,160,97,0,90,83,6,1,419,201,0,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Cream - Large,Large,1160,40,22,1.5,125,480,191,0,181,168,11,2,2111,373,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Cream - Medium,Medium,890,31,17,1,100,370,147,0,139,129,8,2,1604,288,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Cream - Small,Small,630,22,12,0.5,70,250,103,0,97,89,6,1,1099,204,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Skim Milk - Large,Large,880,5,3.5,0,25,430,195,0,185,168,12,2,2152,432,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Skim Milk - Medium,Medium,680,5,3,0,20,330,150,0,142,129,9,2,1634,332,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Skim Milk - Small,Small,490,4.5,3,0,20,220,105,0,99,89,6,1,1119,234,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Whole Milk - Large,Large,930,11,7,0,40,430,195,0,185,168,11,3,2107,415,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Whole Milk - Medium,Medium,720,9,6,0,30,330,150,0,142,129,9,2,1601,319,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Butter Pecan Swirl Frozen Coffee with Whole Milk - Small,Small,510,8,4.5,0,25,220,105,0,98,89,6,1,1097,225,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Cream - Large,Large,1120,40,22,1.5,130,290,180,0,172,160,10,2,2279,346,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Cream - Medium,Medium,860,31,17,1,100,220,139,0,132,122,8,2,1730,267,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Cream - Small,Small,610,22,12,0.5,70,160,97,0,92,85,6,1,1183,190,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Skim Milk - Large,Large,830,5,3.5,0,25,240,184,0,176,160,11,2,2319,405,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Skim Milk - Medium,Medium,650,4.5,3,0,25,180,142,0,135,122,9,2,1760,312,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Skim Milk - Small,Small,470,4.5,3,0,20,130,99,0,94,85,6,1,1203,220,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Whole Milk - Large,Large,880,11,7,0,40,240,184,0,175,160,11,3,2275,388,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Whole Milk - Medium,Medium,680,9,6,0,35,180,141,0,134,122,8,2,1727,299,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Caramel Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,4.5,0,30,130,99,0,94,85,6,1,1181,211,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Cream - Large,Large,1110,40,22,1.5,130,280,180,0,169,155,10,2,2243,326,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Cream - Medium,Medium,860,31,17,1,100,220,138,0,130,119,8,2,1703,253,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Cream - Small,Small,610,22,12,0.5,70,150,97,0,91,83,6,1,1165,181,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Skim Milk - Large,Large,830,5,3.5,0,25,230,184,0,173,155,11,2,2283,386,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Skim Milk - Medium,Medium,640,4.5,3,0,20,180,141,0,133,119,9,2,1733,297,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Skim Milk - Small,Small,460,4.5,3,0,20,125,99,0,93,83,6,1,1185,210,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Whole Milk - Large,Large,880,11,7,0,40,230,183,0,173,155,11,3,2238,369,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Whole Milk - Medium,Medium,680,9,6,0,35,180,141,0,132,119,8,2,1699,284,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,French Vanilla Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,4.5,0,30,125,99,0,92,83,6,1,1163,202,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Cream - Large,Large,780,35,18,1,105,200,113,0,108,103,7,2,1841,204,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Cream - Medium,Medium,590,26,14,1,80,150,85,0,81,77,5,1,1381,153,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Cream - Small,Small,390,17,9,0.5,55,100,57,0,54,51,3,1,920,102,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Skim Milk - Large,Large,500,0,0,0,5,150,117,0,112,103,8,2,1881,263,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Skim Milk - Medium,Medium,370,0,0,0,5,115,88,0,84,77,6,2,1411,198,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Skim Milk - Small,Small,250,0,0,0,0,75,59,0,56,51,4,1,941,132,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Whole Milk - Large,Large,550,6,3.5,0,20,150,117,0,111,103,7,2,1836,246,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Whole Milk - Medium,Medium,410,4.5,2.5,0,15,115,88,0,84,77,5,2,1377,185,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Frozen Coffee with Whole Milk - Small,Small,270,3,1.5,0,10,75,58,0,56,51,4,1,918,123,1,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Cream - Large,Large,1100,41,22,1.5,125,240,179,3,165,159,9,2,2284,235,4,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Cream - Medium,Medium,850,31,17,1,95,190,137,2,126,122,7,2,1734,180,3,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Cream - Small,Small,600,22,13,0.5,70,125,97,2,88,85,5,1,1186,126,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Skim Milk - Large,Large,820,6,4,0,20,190,183,3,169,159,10,2,2324,294,4,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Skim Milk - Medium,Medium,630,5,3.5,0,20,150,140,2,129,122,8,2,1764,224,3,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Skim Milk - Small,Small,460,5,3.5,0,15,100,99,2,90,85,5,1,1206,155,2,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Whole Milk - Large,Large,870,12,7,0,35,190,183,3,169,159,9,3,2279,277,4,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Whole Milk - Medium,Medium,670,10,6,0,30,150,140,2,129,122,7,2,1730,211,3,,,,,,,,,,,,,
Dunkin,Frozen Coffee,Mocha Swirl Frozen Coffee with Whole Milk - Small,Small,480,8,5,0,25,100,98,2,90,85,5,1,1183,147,2,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Skim Milk - Large,Large,300,0,0,0,5,190,61,0,59,42,12,3,703,428,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,140,46,0,44,31,9,2,523,321,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,95,30,0,30,21,6,1,352,214,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,25,190,60,0,59,42,11,3,643,405,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,140,45,0,44,31,8,2,478,303,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Pink Velvet Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,95,30,0,29,21,6,2,322,202,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Skim Milk - Large,Large,300,0,0,0,5,180,62,0,60,42,11,3,674,425,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,135,47,0,45,32,8,2,501,319,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,90,31,0,30,21,5,1,337,213,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,25,180,62,0,59,42,10,3,614,402,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,140,46,0,44,32,8,2,456,302,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Toasted White Chocolate Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,90,31,0,30,21,5,2,307,201,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Skim Milk - Large,Large,310,0,0,0,5,370,64,0,60,42,11,3,653,431,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,280,48,0,45,31,9,2,485,323,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,190,32,0,30,21,6,1,326,215,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,25,370,63,0,60,42,11,3,593,408,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,280,47,0,45,31,8,2,440,306,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Butter Pecan Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,190,32,0,30,21,5,2,297,204,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Skim Milk - Large,Large,90,0,0,0,5,115,13,0,12,0,8,3,474,300,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Skim Milk - Medium,Medium,70,0,0,0,5,85,10,0,9,0,6,2,351,225,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Skim Milk - Small,Small,45,0,0,0,0,55,7,0,6,0,4,1,237,150,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Skim Milk and Sugar - Large,Large,230,0,0,0,5,115,48,0,47,35,8,3,475,301,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Skim Milk and Sugar - Medium,Medium,170,0,0,0,5,85,36,0,35,26,6,2,351,225,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Skim Milk and Sugar - Small,Small,110,0,0,0,0,55,24,0,23,17,4,1,237,150,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Whole Milk - Large,Large,160,8,4.5,0,25,115,13,0,12,0,8,3,414,277,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Whole Milk - Medium,Medium,120,6,3.5,0,20,85,10,0,9,0,6,2,306,208,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Whole Milk - Small,Small,80,4,2.5,0,10,60,7,0,6,0,4,2,207,139,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Whole Milk and Sugar - Large,Large,290,8,4.5,0,25,115,48,0,46,35,8,3,415,278,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Whole Milk and Sugar - Medium,Medium,220,6,3.5,0,20,85,36,0,35,26,6,2,306,208,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Cappuccino with Whole Milk and Sugar - Small,Small,150,4,2.5,0,10,60,24,0,23,17,4,2,207,139,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Caramel Swirl Hot Cappuccino with Skim Milk - Large,Large,310,0,0,0,10,180,65,0,63,46,11,3,821,404,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Caramel Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,135,49,0,47,35,8,2,611,303,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Caramel Swirl Hot Cappuccino with Skim Milk - Small,Small,160,0,0,0,5,90,33,0,32,23,6,1,410,202,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Caramel Swirl Hot Cappuccino with Whole Milk - Large,Large,380,8,4.5,0,30,180,65,0,63,46,11,3,761,381,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Caramel Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,135,48,0,47,35,8,2,566,285,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Caramel Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,90,32,0,31,23,5,2,380,190,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Skim Milk - Large,Large,310,0,0,0,10,170,65,0,61,42,11,3,784,384,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Skim Milk - Medium,Medium,230,0,0,0,5,130,48,0,46,31,8,2,584,288,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0,0,0,5,85,32,0,30,21,5,1,392,192,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Whole Milk - Large,Large,370,8,4.5,0,30,170,64,0,60,42,10,3,724,361,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Whole Milk - Medium,Medium,280,6,3.5,0,20,130,48,0,45,31,8,2,539,271,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,French Vanilla Swirl Hot Cappuccino with Whole Milk - Small,Small,190,4,2.5,0,15,85,32,0,30,21,5,2,362,181,0,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Mocha Swirl Hot Cappuccino with Skim Milk - Large,Large,300,1,0.5,0,5,140,64,2,58,46,10,3,825,311,2,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Mocha Swirl Hot Cappuccino with Skim Milk - Medium,Medium,220,1,0.5,0,5,105,48,2,43,34,7,2,614,233,1,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Mocha Swirl Hot Cappuccino with Skim Milk - Small,Small,150,0.5,0,0,0,70,32,1,29,23,5,1,412,156,1,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Mocha Swirl Hot Cappuccino with Whole Milk - Large,Large,360,9,5,0,25,140,63,2,57,46,9,3,765,288,2,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Mocha Swirl Hot Cappuccino with Whole Milk - Medium,Medium,270,7,4,0,20,110,48,2,43,34,7,2,569,216,1,,,,,,,,,,,,,
Dunkin,Hot Cappuccino,Mocha Swirl Hot Cappuccino with Whole Milk - Small,Small,180,4.5,2.5,0,10,70,32,1,29,23,5,2,382,144,1,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Toasted White Chocolate Hot Chocolate - Extra Large,XLarge,770,15,14,0,5,560,150,3,130,121,7,0,586,233,1,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Toasted White Chocolate Hot Chocolate - Large,Large,670,14,13,0,5,510,131,3,113,105,6,0,508,195,1,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Toasted White Chocolate Hot Chocolate - Medium,Medium,490,10,9,0,0,370,95,2,82,77,5,0,370,144,0,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Toasted White Chocolate Hot Chocolate - Small,Small,330,7,6,0,0,250,64,2,55,52,3,0,250,97,0,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Box 'O Joe(R) Hot Chocolate,1 Small Cup,220,7,6,0,0,210,40,2,32,31,2,0,150,34,0,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Hot Chocolate with Espresso Shot - Large,Large,400,12,11,0,0,390,71,3,55,53,3,0,354,61,1,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Hot Chocolate with Espresso Shot - Medium,Medium,280,9,8,0,0,280,51,2,39,38,2,0,251,43,0,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Hot Chocolate with Espresso Shot - Small,Small,190,6,5,0,0,190,35,1,27,26,2,0,173,30,0,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Original Hot Chocolate - Extra Large,XLarge,500,15,14,0,0,480,89,3,71,68,4,0,335,76,1,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Original Hot Chocolate - Large,Large,460,14,13,0,0,440,82,3,65,63,4,0,308,70,1,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Original Hot Chocolate - Medium,Medium,330,10,9,0,0,320,59,2,46,45,3,0,220,50,0,,,,,,,,,,,,,
Dunkin,Hot Chocolate,Original Hot Chocolate - Small,Small,220,7,6,0,0,210,40,2,32,31,2,0,150,34,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Extra Large,XLarge,270,0,0,0,5,105,59,0,59,52,5,0,565,171,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Large,Large,220,0,0,0,0,85,47,0,47,42,4,0,462,137,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Medium,Medium,160,0,0,0,0,65,36,0,35,31,3,0,360,103,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,45,24,0,23,21,2,0,257,70,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,45,160,61,0,61,52,7,1,635,238,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Large,Large,330,12,6,0,40,125,49,0,49,42,6,1,518,191,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Medium,Medium,250,9,4.5,0,30,95,37,0,36,31,4,0,402,144,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Pink Velvet Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,65,25,0,24,21,3,0,285,96,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Extra Large,XLarge,270,0,0,0,5,95,61,0,59,53,4,0,529,168,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Large,Large,220,0,0,0,0,80,49,0,48,42,3,0,433,135,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Medium,Medium,160,0,0,0,0,60,37,0,36,32,2,0,312,100,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,40,24,0,24,21,2,0,242,68,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,45,150,63,0,62,53,6,1,599,235,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Large,Large,330,12,6,0,40,120,51,0,49,42,5,1,489,188,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Medium,Medium,250,9,4.5,0,30,90,38,0,37,32,4,0,354,141,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Toasted White Chocolate Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,60,25,0,25,21,3,0,271,95,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,White Hazelnut Bark Hot Coffee - Extra Large,XLarge,430,15,8,0,45,150,66,0,62,53,6,1,573,234,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,White Hazelnut Bark Hot Coffee - Large,Large,340,12,6,0,40,120,53,0,49,42,5,1,463,187,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,White Hazelnut Bark Hot Coffee - Medium,Medium,260,9,4.5,0,30,90,40,0,37,32,4,0,354,141,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,White Hazelnut Bark Hot Coffee - Small,Small,170,6,3,0,20,60,26,0,25,21,3,0,271,95,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Box 'O Joe®,1 Small Cup,5,0,0,0,0,5,0,0,0,0,0,0,155,6,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Extra Large,XLarge,270,0,0,0,0,330,63,0,60,52,5,0,502,174,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Large,Large,220,0,0,0,0,270,50,0,48,42,4,0,412,140,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Medium,Medium,170,0,0,0,0,200,38,0,36,31,3,0,322,106,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,135,25,0,24,21,2,0,232,71,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,45,390,65,0,62,52,7,1,572,242,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Large,Large,330,12,6,0,35,310,52,0,50,42,5,1,468,194,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Medium,Medium,250,9,4.5,0,30,230,39,0,37,31,4,0,364,146,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Butter Pecan Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,160,26,0,25,21,3,0,260,98,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Black - Extra Large,XLarge,280,0,0,0,5,95,64,0,64,58,4,0,712,140,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Black - Large,Large,230,0,0,0,5,75,52,0,51,46,3,0,580,113,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Black - Medium,Medium,170,0,0,0,5,60,39,0,38,35,3,0,448,85,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Black - Small,Small,110,0,0,0,0,40,26,0,26,23,2,0,316,57,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Cream - Extra Large,XLarge,420,15,8,0,50,150,67,0,66,58,6,1,782,208,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Cream - Large,Large,340,12,6,0,40,120,53,0,53,46,5,1,636,167,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Cream - Medium,Medium,260,9,4.5,0,30,90,40,0,40,35,4,0,490,126,0,,,,,,,,,,,,,
Dunkin,Hot Coffee,Caramel Swirl Hot Coffee with Cream - Small,Small,170,6,3,0,20,60,27,0,26,23,3,0,344,84,0,,,,,,,,,,,,,
