Dunkin' Wraps,"eziS
gnivreS",seirolaC,")g(
taF
latoT",")g(
taF
detarutaS",")g(
taF
snarT",")gm(
loretselohC",")gm(
muidoS",")g(
braC
latoT",")g(
rebiF
yrateiD",")g(
sraguS
latoT",")g(
sraguS
deddA",")g(
nietorP",")gcm(
D
nimatiV",")gm(
muissatoP",")gm(
muiclaC",")gm(
norI"
"Chicken & Roasted Pepper
Dunkin' Wrap",1 Wrap,380,16,10,0.5,75,820,33,3,3,0,25,0,318,283,3
Chorizo & Egg Dunkin' Wrap,1 Wrap,410,21,10,0,140,1010,34,3,3,1,20,1,249,227,3
